complaint_id,category,priority,reason,flag
KM-202401,Streetlight,Standard,"The description mentions 'lamp' and related terms, which matches Streetlight.",
KM-202402,Heritage Damage,Standard,"The description mentions 'historic' and related terms, which matches Heritage Damage.",
KM-202405,Other,Standard,"The description is too vague to classify confidently because it does not mention approved category terms such as 'pothole', 'flood', 'streetlight', or 'waste'.",NEEDS_REVIEW
KM-202409,Pothole,Standard,"The description mentions 'pothole' and related terms, which matches Pothole.",
KM-202410,Pothole,Standard,"The description mentions 'pothole' and related terms, which matches Pothole.",
KM-202411,Pothole,Standard,"The description mentions 'deep pothole' and related terms, which matches Pothole.",
KM-202415,Drain Blockage,Standard,"The description mentions 'drain' and related terms, which matches Drain Blockage.",
KM-202418,Waste,Standard,"The description mentions 'waste' and related terms, which matches Waste.",
KM-202421,Other,Urgent,"The description is too vague to classify confidently because it does not mention approved category terms such as 'pothole', 'flood', 'streetlight', or 'waste'.",NEEDS_REVIEW
KM-202422,Road Damage,Standard,"The description mentions 'road' and related terms, which matches Road Damage.",
KM-202426,Heritage Damage,Standard,"The description mentions 'heritage' and related terms, which matches Heritage Damage.",
KM-202430,Road Damage,Standard,"The description mentions 'road' and related terms, which matches Road Damage.",
KM-202434,Heritage Damage,Standard,"The description mentions 'heritage' and related terms, which matches Heritage Damage.",
KM-202436,Other,Standard,"The description is too vague to classify confidently because it does not mention approved category terms such as 'pothole', 'flood', 'streetlight', or 'waste'.",NEEDS_REVIEW
KM-202438,Heritage Damage,Standard,"The description mentions 'heritage' and related terms, which matches Heritage Damage.",
