complaint_id,category,priority,reason,flag
GH-202401,Flooding,Urgent,"The description mentions 'underpass flooded' and related terms, which matches Flooding.",
GH-202402,Flooding,Standard,"The description mentions 'flooded' and related terms, which matches Flooding.",
GH-202406,Drain Blockage,Standard,"The description mentions 'drain' and related terms, which matches Drain Blockage.",
GH-202407,Drain Blockage,Standard,"The description mentions 'drain blocked' and related terms, which matches Drain Blockage.",
GH-202410,Pothole,Standard,"The description mentions 'pothole' and related terms, which matches Pothole.",
GH-202411,Pothole,Urgent,"The description mentions 'pothole' and related terms, which matches Pothole.",
GH-202412,Pothole,Urgent,"The description mentions 'pothole' and related terms, which matches Pothole.",
GH-202417,Waste,Standard,"The description mentions 'garbage' and related terms, which matches Waste.",
GH-202420,Other,Standard,"The description is too vague to classify confidently because it does not mention approved category terms such as 'pothole', 'flood', 'streetlight', or 'waste'.",NEEDS_REVIEW
GH-202422,Road Damage,Urgent,"The description mentions 'road' and related terms, which matches Road Damage.",
GH-202424,Flooding,Standard,"The description mentions 'flood' and related terms, which matches Flooding.",
GH-202428,Waste,Standard,"The description mentions 'waste' and related terms, which matches Waste.",
GH-202432,Other,Standard,"The description is too vague to classify confidently because it does not mention approved category terms such as 'pothole', 'flood', 'streetlight', or 'waste'.",NEEDS_REVIEW
GH-202448,Drain Blockage,Standard,"The description mentions 'drain blocked' and related terms, which matches Drain Blockage.",
GH-202438,Road Damage,Standard,"The description mentions 'road' and related terms, which matches Road Damage.",
