complaint_id,category,priority,reason,flag
PM-202401,Pothole,Standard,"The description mentions 'large pothole' and related terms, which matches Pothole.",
PM-202402,Pothole,Urgent,"The description mentions 'deep pothole' and related terms, which matches Pothole.",
PM-202406,Flooding,Standard,"The description mentions 'underpass flooded' and related terms, which matches Flooding.",
PM-202408,Drain Blockage,Standard,"The description mentions 'drain blocked' and related terms, which matches Drain Blockage.",
PM-202410,Streetlight,Standard,"The description mentions 'streetlight' and related terms, which matches Streetlight.",
PM-202411,Streetlight,Urgent,"The description mentions 'streetlight' and related terms, which matches Streetlight.",
PM-202413,Waste,Standard,"The description mentions 'garbage bins' and related terms, which matches Waste.",
PM-202418,Noise,Standard,"The description mentions 'playing music' and related terms, which matches Noise.",
PM-202419,Road Damage,Standard,"The description mentions 'road surface cracked' and related terms, which matches Road Damage.",
PM-202420,Drain Blockage,Urgent,"The description mentions 'manhole cover missing' and related terms, which matches Drain Blockage.",
PM-202427,Flooding,Standard,"The description mentions 'flood' and related terms, which matches Flooding.",
PM-202428,Waste,Standard,"The description mentions 'dead animal' and related terms, which matches Waste.",
PM-202430,Heritage Damage,Standard,"The description mentions 'heritage street' and related terms, which matches Heritage Damage.",
PM-202433,Waste,Standard,"The description mentions 'bulk waste' and related terms, which matches Waste.",
PM-202446,Road Damage,Urgent,"The description mentions 'upturned' and related terms, which matches Road Damage.",
